trade_name,concentration,company,pharmaceutical_form,display_name
ORAZONE,0.5mg/5ml,THE ARAB DRUG COMPANY FOR PHARMACEUTICALS AND CHEMICAL INDUSTRIES,Syrup,ORAZONE 0.5mg/5ml
SEKEM SLIMMING HERBS(CANCELLED),0comb,Atos for production of medicinal herbs(Atos pharma),Herbs,SEKEM SLIMMING HERBS(CANCELLED) 0comb
CYTEAL,0comb,Medical Union Pharmaceuticals - MUP,Topical Solution,CYTEAL 0comb
ISOPRINOSINE 250mg/5ml,250mg/5ml,Medical Union Pharmaceuticals - MUP,Syrup,ISOPRINOSINE 250mg/5ml 250mg/5ml
HIRUDOID  topical gel 0.3gm/100gm(Cancelled),0.3gm/100g,Medical Union Pharmaceuticals - MUP,Topical Gel,HIRUDOID  topical gel 0.3gm/100gm(Cancelled) 0.3gm/100g
ENCEPHABOL FORTE,300mg,El-Nile Company for Pharmaceuticals and Chemical Industries (El-Nile).,Tablets,ENCEPHABOL FORTE 300mg
TRANEXENE,5mg,El-Nile Company for Pharmaceuticals and Chemical Industries (El-Nile).,Capsule,TRANEXENE 5mg
ECAPLEX  syrup(CANCELLED),0comb,El-Nile Company for Pharmaceuticals and Chemical Industries (El-Nile).,Oral Syrup,ECAPLEX  syrup(CANCELLED) 0comb
ROYAL VIT G,0comb,South Egypt Drug Industries Co (SEDICO),Soft Gelatin Capsule,ROYAL VIT G 0comb
EDEMEX,0.25mg/ml,MEMPHIS for pharmaceuticals and chemical industries,Solution for I.M and slow I.V Injection,EDEMEX 0.25mg/ml
OTOGINE ear drops(CANCELLED),0comb,Amoun Pharmaceutical Company,Ear Drops,OTOGINE ear drops(CANCELLED) 0comb
MARCOFEN  400 mg  S.R hard gelatin caps.,400mg,Glaxo smithkline,Hard gelatin capsules containing pellets,MARCOFEN  400 mg  S.R hard gelatin caps. 400mg
RHEUMAFEN SR,100mg,Glaxo smithkline,Hard Gelatin Capsules,RHEUMAFEN SR 100mg
CIDOCETINE SUCCINATE 1 gm injection,1gm,Chemical Industries Development (CID),Lyophilized powder for solution for I.M.  or I.V. injection,CIDOCETINE SUCCINATE 1 gm injection 1gm
YUTOPAR,10mg,"islamic company for pharmaceuticals,chemicals and medical appliances (pharco pharmaceuticals",Tablets,YUTOPAR 10mg
AFONILUM RETARD MITE 125  mg  SLOW RELEASE CAPS.,125mg,THE ARAB DRUG COMPANY FOR PHARMACEUTICALS AND CHEMICAL INDUSTRIES,Tablets,AFONILUM RETARD MITE 125  mg  SLOW RELEASE CAPS. 125mg
AFONILUM RETARD FORTE 375  mg,375mg,THE ARAB DRUG COMPANY FOR PHARMACEUTICALS AND CHEMICAL INDUSTRIES,Capsule,AFONILUM RETARD FORTE 375  mg 375mg
PHARMALGIN TAB.500 mg(CANCELLED),500mg,THE ARAB DRUG COMPANY FOR PHARMACEUTICALS AND CHEMICAL INDUSTRIES,Tablets,PHARMALGIN TAB.500 mg(CANCELLED) 500mg
REHAIR 2%,2%,El-Nasr for Pharmaceutical Chemicals,Topical Solution,REHAIR 2% 2%
"ALLOFERINE""ROCHE""10 mg/2 ml amp.(CANCELLED)",10mg/2ml,Misr company for Pharmaceuticals,Lyophilized Powder,"ALLOFERINE""ROCHE""10 mg/2 ml amp.(CANCELLED) 10mg/2ml"
PASTEUR HEVAC B VACCINE HEPATITIS B VACCINE(CANCELLED),5mcg,MEDICO PHARMA scientific office,Lyophilized Powder,PASTEUR HEVAC B VACCINE HEPATITIS B VACCINE(CANCELLED) 5mcg
CPD SOLUTION (ANTICOAGULANT CITRATE PHOSPHATE DEXTROSE),0UnDefined,INTERPHARMA-Egypt IPC,Blood bag,CPD SOLUTION (ANTICOAGULANT CITRATE PHOSPHATE DEXTROSE) 0UnDefined
ULTRAVIST (cancelled re reg),240mg/50ml,SCHERING AG SCIENTIFIC OFICE,Lyophilized Powder,ULTRAVIST (cancelled re reg) 240mg/50ml
Ultravist® 370 mg,768.86mg/ml,Bayer AG,Solution for I.V injection \Infusion,Ultravist® 370 mg 768.86mg/ml
Ultravist® 300mg,623.4mg/ml,Bayer AG,Solution for I.V injection \Infusion,Ultravist® 300mg 623.4mg/ml
Yutopar Ampoules,50mg/5ml,"islamic company for pharmaceuticals,chemicals and medical appliances (pharco pharmaceuticals",Ampoule,Yutopar Ampoules 50mg/5ml
ANAFLEX,10%,Egyptian International Pharmaceutical Industries Company (EIPICO),Powder,ANAFLEX 10%
CIDOMYCIN 0.3% eye oint.(Cancelled),0.3%,Sanofi Egypt,Eye Ointment,CIDOMYCIN 0.3% eye oint.(Cancelled) 0.3%
SODIUM SEPACK  0.9% W/V I.V.infusion BP(CANCELLED),0.9%,El-Nasr for Pharmaceutical Chemicals,Lyophilized Powder,SODIUM SEPACK  0.9% W/V I.V.infusion BP(CANCELLED) 0.9%
PAVOMAN,1.59mg/100ml,kahira pharmaceuticals and chemical industries,Oral Suspension,PAVOMAN 1.59mg/100ml
CEPHLEX,250mg,kahira pharmaceuticals and chemical industries,Capsule,CEPHLEX 250mg
Duvadilan,20mg,"islamic company for pharmaceuticals,chemicals and medical appliances (pharco pharmaceuticals",Tablets,Duvadilan 20mg
MIGRACID,0comb,Chemical Industries Development (CID),Oral Syrup,MIGRACID 0comb
RIABAL AMP.(CANCELLED),15mg/2ml,Hikma for importation,Lyophilized Powder,RIABAL AMP.(CANCELLED) 15mg/2ml
ERCEFURYL,200mg,Sanofi Egypt,Capsule,ERCEFURYL 200mg
ESSENTIALE FORTE,0comb,Amriya for Pharmaceutical Industries,Hard Gelatin Capsules,ESSENTIALE FORTE 0comb
AFONILUM R RETARD 250 mg  SLOW RELEASE CAPSULES,250mg,THE ARAB DRUG COMPANY FOR PHARMACEUTICALS AND CHEMICAL INDUSTRIES,Capsule,AFONILUM R RETARD 250 mg  SLOW RELEASE CAPSULES 250mg
AKINETON,2mg,THE ARAB DRUG COMPANY FOR PHARMACEUTICALS AND CHEMICAL INDUSTRIES,Tablets,AKINETON 2mg
LINCOCIN Pediatric,300mg/ml,MEMPHIS for pharmaceuticals and chemical industries,Ampoule,LINCOCIN Pediatric 300mg/ml
Phytomenadione,10mg/ml,MEMPHIS for pharmaceuticals and chemical industries,Solution for I.M Injection,Phytomenadione 10mg/ml
Magnisol,0.5gm,MEMPHIS for pharmaceuticals and chemical industries,Solution for IM and IV injection or slow IV infusion,Magnisol 0.5gm
NEURIL,5mg,MEMPHIS for pharmaceuticals and chemical industries,Tablets,NEURIL 5mg
MUCINUM CASCARA(CANCELLED),0comb,Amriya for Pharmaceutical Industries,Tablets,MUCINUM CASCARA(CANCELLED) 0comb
CALORIDE 13.4% amp.(CANCELLED),13.4%,MEMPHIS for pharmaceuticals and chemical industries,Lyophilized Powder,CALORIDE 13.4% amp.(CANCELLED) 13.4%
INDACIN,100mg,MEMPHIS for pharmaceuticals and chemical industries,Rectal Suppositories,INDACIN 100mg
VERMIZINE elixir,500mg/5ml,Misr company for Pharmaceuticals,Elixir,VERMIZINE elixir 500mg/5ml
NEUROCET,1gm/5ml,Misr company for Pharmaceuticals,Oral Syrup,NEUROCET 1gm/5ml
ALPHOSYL cream.(Cancelled),0comb,Medical Union Pharmaceuticals - MUP,Topical Cream,ALPHOSYL cream.(Cancelled) 0comb
ACTICARB tab.(Cancelled),0comb,Medical Union Pharmaceuticals - MUP,Tablets,ACTICARB tab.(Cancelled) 0comb
PULMONAL- N,0comb,THE ARAB DRUG COMPANY FOR PHARMACEUTICALS AND CHEMICAL INDUSTRIES,Oral Syrup,PULMONAL- N 0comb
TUBOCIM granules for oral susp. 120.000 mcg,120mcg,kahira pharmaceuticals and chemical industries,Oral Suspension,TUBOCIM granules for oral susp. 120.000 mcg 120mcg
Salethan,12gm/100g,kahira pharmaceuticals and chemical industries,Topical Cream,Salethan 12gm/100g
GAMMA BENZYL,0comb,kahira pharmaceuticals and chemical industries,Topical Lotion,GAMMA BENZYL 0comb
OPTALIDON WITH PARACETAMOL 200 mg tab.(CANCELLED),200mg,Novartis Pharma,Tablets,OPTALIDON WITH PARACETAMOL 200 mg tab.(CANCELLED) 200mg
MOSEGOR (Mandarin Flavour),5mg/100ml,Novartis Pharma,Syrup,MOSEGOR (Mandarin Flavour) 5mg/100ml
Ultragriseofulvin,125mg,kahira pharmaceuticals and chemical industries,Tablets,Ultragriseofulvin 125mg
PEDIA VIT powder(Cancelled),0comb,Johnson &Johnson (Middle east) Egyptian Scientific Office,Powder,PEDIA VIT powder(Cancelled) 0comb
Voltaren 75 mg/3ml,75mg/3ml,Novartis Pharma,Ampoule,Voltaren 75 mg/3ml 75mg/3ml
INDOMIN 25mg caps.,25mg,Misr company for Pharmaceuticals,Capsule,INDOMIN 25mg caps. 25mg
CIDOMYCIN 0.3% eye/ear drops(Cancelled),0.3%,Sanofi Egypt,Eye Drops,CIDOMYCIN 0.3% eye/ear drops(Cancelled) 0.3%
MORPHINE SULPHATE CONTROLLED RELEASE 30 MG,30mg,Medical Union Pharmaceuticals - MUP,Tablets,MORPHINE SULPHATE CONTROLLED RELEASE 30 MG 30mg
CARMINEX,0comb,Arab Company for Pharmaceuticals and Medicinal Plants _ Mepaco- Medi Food,Oral Syrup,CARMINEX 0comb
ONDOGYNE 400mg tab.(CANCELLED),400mg,Sanofi Egypt,Tablets,ONDOGYNE 400mg tab.(CANCELLED) 400mg
AMRIZOLE  500mg,500mg,Amriya for Pharmaceutical Industries,Film Coated Tablets,AMRIZOLE  500mg 500mg
MUCOPECT,15mg,El-Nile Company for Pharmaceuticals and Chemical Industries (El-Nile).,Oral Syrup,MUCOPECT 15mg
MEXITIL 250mg amp.(CANCELLED),250mg,Boehringer Ingelheim,Lyophilized Powder,MEXITIL 250mg amp.(CANCELLED) 250mg
Genettera 10 mg,10mg,Genesis Pharmaceuticals,Hard Gelatin Capsules,Genettera 10 mg 10mg
Multisis V,0comb,El-Nile Company for Pharmaceuticals and Chemical Industries (El-Nile).,Sugar Coated Tablets,Multisis V 0comb
Metronidazole,5mg/ml,Upper Egypt pharmaceuticals - UP Pharma,Solution for injection,Metronidazole 5mg/ml
Alfaflavox,200mg,Alfacure Pharmaceuticals,Film Coated Tablets,Alfaflavox 200mg
Brintellix 10 mg,10mg,Lundbeck Middle East A/S Scientific Office,Film Coated Tablets,Brintellix 10 mg 10mg
Brintellix 20,20mg,Lundbeck Middle East A/S Scientific Office,Film Coated Tablets,Brintellix 20 20mg
Capecitabine Accord,500mg,Pharma solutions Egypt,Film Coated Tablets,Capecitabine Accord 500mg
Clindanoid,0comb,Eva pharma for Pharmaceuticals and Medical Appliances - Eva Pharma,Topical Gel,Clindanoid 0comb
Clindatretin,0comb,Parkville Pharmaceuticals egypt,Topical Gel,Clindatretin 0comb
Daclahepex,66mg,Global Pharmaceutical Industries,Film Coated Tablets,Daclahepex 66mg
Duspatalin Retard,200mg,Abbott Scientific Office,Modified Release Capsules,Duspatalin Retard 200mg
Efloream,139mg/gm,Marcyrl pharmaceutical industries - MPI,Topical Cream,Efloream 139mg/gm
Ezesim,0comb,P and C Labs - Pellets and CR Products,Tablets,Ezesim 0comb
Inlyta,5mg,Pfizer Biopharmaceuticals Egypt LLC,Film Coated Tablets,Inlyta 5mg
Lipsyvok,200mg,Kevokpharma,Film Coated Tablets,Lipsyvok 200mg
Inlyta,1mg,Pfizer Biopharmaceuticals Egypt LLC,Film Coated Tablets,Inlyta 1mg
CHLOROQUINE PHOSPHATE,250mg,Upper Egypt pharmaceuticals - UP Pharma,Tablets,CHLOROQUINE PHOSPHATE 250mg
CLARITHROMYCIN 250 mg,250mg,Upper Egypt pharmaceuticals - UP Pharma,Capsule,CLARITHROMYCIN 250 mg 250mg
Magicnorm,0comb,Magic Pharma,Film Coated Tablets,Magicnorm 0comb
Norpregna 5 mg,5mg,Zeta Pharma for Pharmaceutical Industries (Zeta Pharma),Tablets,Norpregna 5 mg 5mg
jointflex,0comb,Alfacure Pharmaceuticals,Tablets,jointflex 0comb
Norpregna,30mg,Zeta Pharma for Pharmaceutical Industries (Zeta Pharma),Tablets,Norpregna 30mg
CLOTRIMAZOLE,1%,Upper Egypt pharmaceuticals - UP Pharma,Topical Cream,CLOTRIMAZOLE 1%
Nosemys,0.028mg/Metered Dose,al andalous for pharmaceutical industries,Metered Nasal Spray,Nosemys 0.028mg/Metered Dose
Floxan,60UnDefined,Upper Egypt pharmaceuticals - UP Pharma,Oral Solution,Floxan 60UnDefined
Ladity,0comb,Alfacure Pharmaceuticals,Tablets,Ladity 0comb
GLIBENCLAMIDE-Upper Egypt,5mg,Upper Egypt pharmaceuticals - UP Pharma,Tablets,GLIBENCLAMIDE-Upper Egypt 5mg
IBUPROFEN Oral suspension 100mg/5ml -UPPER EGYPT,100mg/5ml,Upper Egypt pharmaceuticals - UP Pharma,Oral Suspension,IBUPROFEN Oral suspension 100mg/5ml -UPPER EGYPT 100mg/5ml
IBUPROFEN 400mg,400mg,Upper Egypt pharmaceuticals - UP Pharma,Tablets,IBUPROFEN 400mg 400mg
Promostatin,3.75gm,AL ESRAA PHARMACEUTICAL OPTIMA-EGYPT,Powder for Oral Suspension,Promostatin 3.75gm
Paracetamol- Riva Pharma,10mg/ml,RIVA PHARMA,Solution For I.V Infusion,Paracetamol- Riva Pharma 10mg/ml
Sertral,50mg,"islamic company for pharmaceuticals,chemicals and medical appliances (pharco pharmaceuticals",Film Coated Tablets,Sertral 50mg
Sitagliform 50mg / 500mg,0comb,P and C Labs - Pellets and CR Products,Film Coated Tablets,Sitagliform 50mg / 500mg 0comb
Xygarot,5mg/5ml,Apex pharma,Oral Solution,Xygarot 5mg/5ml
Zeglonza 2.5mg,2.5mg,Adwia,Film Coated Tablets,Zeglonza 2.5mg 2.5mg
Amlosartex,0comb,O-T-C PHARMA,Film Coated Tablets,Amlosartex 0comb
Concotens 10/160/25 mg,0comb,Omega pharmaceutical and chemical industries - OPCI,Film Coated Tablets,Concotens 10/160/25 mg 0comb
Skletarest,800mg,Alfacure Pharmaceuticals,Tablets,Skletarest 800mg
Tinasel cream,2.5gm,Alfacure Pharmaceuticals,Topical Cream,Tinasel cream 2.5gm
Viva N.,0comb,Alfacure Pharmaceuticals,Soft Gelatin Capsule,Viva N. 0comb
Calciumfolinat EBEWE,15mg,Novartis Pharma Sandoz division,Capsule,Calciumfolinat EBEWE 15mg
Naplexsovir,400mg,Naplex Pharmaceuticals,Film Coated Tablets,Naplexsovir 400mg
Enalpril maleate,5mg,October Pharma,Tablets,Enalpril maleate 5mg
Epirubicin Ebewe,2mg/ml,Sandoz Egypt pharma,CONCENTRATE SOLUTION FOR INFUSION,Epirubicin Ebewe 2mg/ml
Leupro - Sandoz 1-Month -Depot,3.6mg,Novartis Pharma Sandoz division,Depot Implant in Prefilled Syringe for S.C. injection,Leupro - Sandoz 1-Month -Depot 3.6mg
futasole,2gm/100g,JULPHAR SCIENTIFIC OFFICE,Topical Cream,futasole 2gm/100g
hestonapan 180 mg,180mg,Panax Pharma,Tablets,hestonapan 180 mg 180mg
sycopanaxin,20mg,Panax Pharma,Film Coated Tablets,sycopanaxin 20mg
Hipamax plus,0comb,Marcyrl pharmaceutical industries - MPI,Soft Gelatin Capsule,Hipamax plus 0comb
Medihyalo,0comb,Zeta Pharma for Pharmaceutical Industries (Zeta Pharma),Topical Cream,Medihyalo 0comb
aqua Cure,0comb,pharma cure pharmaceutical industries,Oral Syrup,aqua Cure 0comb
Dantromove 25,25mg,copad egypt for trade and pharmaceutical industries (copad pharma),Hard Gelatin Capsules,Dantromove 25 25mg
Sofocivir,400mg,Zeta pharma,Film Coated Tablets,Sofocivir 400mg
Advexocan,400mg,M.N.-EGYPT,Film Coated Tablets,Advexocan 400mg
lividemia,2mg,Western Pharmaceuticals Industries,Film Coated Tablets,lividemia 2mg
Advexocan,600mg,M.N.-EGYPT,Film Coated Tablets,Advexocan 600mg
cefadrin,250mg,Upper Egypt pharmaceuticals - UP Pharma,Powder for injection,cefadrin 250mg
Panthenol,0.05gm/1gm,Alexandria Co. For Pharmaceuticals and Chemical Industries,Topical Cream,Panthenol 0.05gm/1gm
Infatilium,10mg/ml,Omega pharmaceutical and chemical industries - OPCI,"Oral Drops,Suspension",Infatilium 10mg/ml
cosantox,0comb,Multicare Egypt for Pharmaceutical Industries,Film Coated Tablets,cosantox 0comb
Westabreath,0.5mg,Western Pharmaceuticals Industries,Film Coated Tablets,Westabreath 0.5mg
Irolamine,0comb,Multicare Egypt for Pharmaceutical Industries,Hard Gelatin Capsules,Irolamine 0comb
westgrelor,90mg,Western Pharmaceuticals Industries,Film Coated Tablets,westgrelor 90mg
Bional Mono,250mg,Multicare Egypt for Pharmaceutical Industries,Hard Gelatin Capsules,Bional Mono 250mg
Procare,0comb,Multicare Egypt for Pharmaceutical Industries,Hard Gelatin Capsules,Procare 0comb
Gatistar,5mg/ml,ORCHIDIA PHARMACEUTICAL INDUSTRIES-EGYPT,Ophthalmic Solution,Gatistar 5mg/ml
Royamigran,2.5mg,royal link pharma,Film Coated Tablets,Royamigran 2.5mg
Orchinohist 2.5 mg,2.5mg/ml,ORCHIDIA PHARMACEUTICAL INDUSTRIES-EGYPT,sterile ophthalmic solution,Orchinohist 2.5 mg 2.5mg/ml
Eye vit,0comb,Majestic Power,Film Coated Tablets,Eye vit 0comb
Chitosan,500mg,Pharma green,Hard Gelatin Capsules,Chitosan 500mg
Cubizolid,200mg,Zeta Pharma for Pharmaceutical Industries (Zeta Pharma),Film Coated Tablets,Cubizolid 200mg
womafolic,0comb,royal link pharma,Film Coated Tablets,womafolic 0comb
paricalcistar,2mcg,Tri Star Medical Group,Soft Gelatin Capsule,paricalcistar 2mcg
Rame -Zithro,200mg/5ml,"The Tenth of Ramadan for Pharmaceutical Industries & Diagnostic Reagents ""RAMEDA""",Powder for Oral Suspension,Rame -Zithro 200mg/5ml
ethambutol,500mg,El-Nile Company for Pharmaceuticals and Chemical Industries (El-Nile).,Film Coated Tablets,ethambutol 500mg
lenvima  4 mg,4mg,Multipharma for Pharmaceuticals and Chemicals Company,Hard Capsule,lenvima  4 mg 4mg
Westavaron 50 mg,50mg,Western Pharmaceuticals Industries,Chewable Tablets,Westavaron 50 mg 50mg
Bepostalerg,1.5%,Epidis Pharma,Ophthalmic Solution,Bepostalerg 1.5%
Gaphcografin,0comb,Gaphco Pharm,Solution for I.V injection \Infusion,Gaphcografin 0comb
Genvoyamoun,25mg,Amoun Pharmaceutical Company,Film Coated Tablets,Genvoyamoun 25mg
Lenvima 10 mg,10mg,Multipharma for Pharmaceuticals and Chemicals Company,Hard Capsule,Lenvima 10 mg 10mg
Midazolam-pharco B international 10 mg/2ml,5mg/ml,Pharco B International,"Solution for I.M Injection ,I.V Injection/Infusion",Midazolam-pharco B international 10 mg/2ml 5mg/ml
Balsam Fruity Flavour,0comb,SIGMA PHARMACEUTICAL INDUSTRIES,Syrup,Balsam Fruity Flavour 0comb
Azrolanta,500mg/10ml,Boston health pharma,Lyophilized Powder for Reconstitution for I.V Infusion,Azrolanta 500mg/10ml
Cabometyx 20 mg,20mg,"Ramco for Import, Export and Commercial Agencies",Film Coated Tablets,Cabometyx 20 mg 20mg
Cabometyx 40mg,40mg,"Ramco for Import, Export and Commercial Agencies",Film Coated Tablets,Cabometyx 40mg 40mg
Ertapenem - Pharco B International,1gm,Pharco B International,powder for solution for I.M. injection or I.V. infusion,Ertapenem - Pharco B International 1gm
Zithromax,500mg,Pfizer Biopharmaceuticals Egypt LLC,Film Coated Tablets,Zithromax 500mg
Albutropium Plus,0comb,MDI Pharma,Metered Dose Aerosol for Oral Inhalation,Albutropium Plus 0comb
Hydratears 1.5 mg/ ml,1.5mg/ml,Sanocare scientific,Eye Drops,Hydratears 1.5 mg/ ml 1.5mg/ml
Effegad 37.5 mg,37.5mg,Hikma Pharmaceuticals industries,Extended release hard gelatin capsule,Effegad 37.5 mg 37.5mg
Enolotax 250mg,250mg,HIKMA SPECIALIZED PHARMACEUTICALS,Hard Gelatin Capsules,Enolotax 250mg 250mg
Balsazin,750mg,vitabiotics egypt for pharmaceutical industries,Hard Gelatin Capsules,Balsazin 750mg
Myogrel 300 mg,300mg,Adwia,Film Coated Tablets,Myogrel 300 mg 300mg
Diabitogaurd 12.5mg/30mg,0comb,PPG,Bilayer film coated tablets,Diabitogaurd 12.5mg/30mg 0comb
Diabitogaurd 25mg/15mg,0comb,PPG,Bilayer film coated tablets,Diabitogaurd 25mg/15mg 0comb
Diabitogaurd 25mg/30mg,0comb,PPG,Bilayer film coated tablets,Diabitogaurd 25mg/30mg 0comb
Diabitogaurd 25mg/45mg,0comb,PPG,Bilayer film coated tablets,Diabitogaurd 25mg/45mg 0comb
Methapharon,0comb,pharaonia pharmaceuticals (pharo pharma),Suspension for injection,Methapharon 0comb
Neximash 40 mg,40mg,Mash for pharmaceutical Industries and cosmetic - mash premiere,Enteric coated granules for delayed release oral suspension,Neximash 40 mg 40mg
Sodium Lactate injection USP 43,1.85gm/100ml,Otsuka Al obour pharmaceutical Egypt,Solution For I.V Infusion,Sodium Lactate injection USP 43 1.85gm/100ml
Atcotrigesic,0P.F.U,ATCO Pharma for Pharmaceutical Industries,powder for oral solution in sachets,Atcotrigesic 0P.F.U
Suninevel 12.5mg,12.5mg,HIKMA SPECIALIZED PHARMACEUTICALS,Hard Gelatin Capsules,Suninevel 12.5mg 12.5mg
Suninevel 25mg,25mg,HIKMA SPECIALIZED PHARMACEUTICALS,Hard Gelatin Capsules,Suninevel 25mg 25mg
Suninevel 50mg,50mg,HIKMA SPECIALIZED PHARMACEUTICALS,Hard Gelatin Capsules,Suninevel 50mg 50mg
Zomiloma,3.5mg,HIKMA SPECIALIZED PHARMACEUTICALS,Lyophilized powder for solution for IV and SC injection,Zomiloma 3.5mg
Bacqure,0comb,Sun Pharmaceutical Industries Ltd,Powder for Solution for I.V Infusion,Bacqure 0comb
Cabometyx 60mg,60mg,"Ramco for Import, Export and Commercial Agencies",Film Coated Tablets,Cabometyx 60mg 60mg
Tobebulk,500mg,To Be pharma,Granular powder for oral solution in sachets,Tobebulk 500mg
Coli kids,0comb,Nordic Pharma,Oral Solution,Coli kids 0comb
Taysepula,0mg,El tayseer for general supplies,Sachet,Taysepula 0mg
Amoubetasol,0comb,Amoun Pharmaceutical Company,Topical Lotion,Amoubetasol 0comb
Peptomak 20 mg,20mg,Egyptian International Pharmaceutical Industries Company (EIPICO),Film Coated Tablets,Peptomak 20 mg 20mg
Levetiracetam - Sunny Pharmaceutical,100mg/ml,SUNNY PHARMACEUTICAL-EGYPT,Concentrate For Solution For I.V Infusion,Levetiracetam - Sunny Pharmaceutical 100mg/ml
Memedoniz 28/10 mg,0comb,P and C Labs - Pellets and CR Products,Extended release hard gelatin capsule,Memedoniz 28/10 mg 0comb
Water for Injection BP 2024,100%,Ghonaim international company for pharmaceutical and cosmetic manufacturing - GIPCCO,Sterile Water for Injection,Water for Injection BP 2024 100%
Vascon N,7.5mg/ml,Hi Pharm for manufacturing pharmaceuticals and chemicals,"Oral Drops,Solution",Vascon N 7.5mg/ml
Fentanyl - Sunny Pharmaceutical,0.1mg/2ml,SUNNY PHARMACEUTICAL-EGYPT,solution for I.M / slow IV injection or IV infusion,Fentanyl - Sunny Pharmaceutical 0.1mg/2ml
Betahistigo 16 mg,16mg,universal pharmaceutical industries (unipharma),Tablets,Betahistigo 16 mg 16mg
Moodapex 100 mg,100mg,Apex pharma,Film Coated Tablets,Moodapex 100 mg 100mg
Fluadwia,2mg/ml,Adwia,Solution For I.V Infusion,Fluadwia 2mg/ml
Brexazurin 3 mg,3mg,Apex pharma,Film Coated Tablets,Brexazurin 3 mg 3mg
Brexazurin 4 mg,4mg,Apex pharma,Film Coated Tablets,Brexazurin 4 mg 4mg
Edoxaprano 15mg,15mg,October Pharma,Film Coated Tablets,Edoxaprano 15mg 15mg
Edoxaprano 30mg,30mg,October Pharma,Film Coated Tablets,Edoxaprano 30mg 30mg
Glycerodex,1.1gm/ml,AL ANDALOUS MEDICAL COMPANY,Oral Liquid,Glycerodex 1.1gm/ml
Zakitenix,10mg,New Apple Pharma,Film Coated Tablets,Zakitenix 10mg
Posaconazole - D G CO,100mg,Diamond Group Pharmaceutical Company(DGCO),Delayed Release Tablets,Posaconazole - D G CO 100mg
Sneezorest,0comb,global medical,Film Coated Tablets,Sneezorest 0comb
Ramdipixir,0comb,elixir pharma,Hard Gelatin Capsules,Ramdipixir 0comb
Diquakillix,10mg,elixir pharma,Vaginal Tablets,Diquakillix 10mg
Wolverix® 8 mg/ 4 ml,8mg/4ml,Egyptian International Pharmaceutical Industries Company (EIPICO),solution for I.M / slow IV injection or IV infusion,Wolverix® 8 mg/ 4 ml 8mg/4ml
Wolverix® 4 mg/ 2 ml,4mg/2ml,Egyptian International Pharmaceutical Industries Company (EIPICO),"Solution for IM, slow IV injection or IV infusion",Wolverix® 4 mg/ 2 ml 4mg/2ml
Pimansim 1g,1gm/vial,Biophar Egypt,"powder for solution for I.M injection ,slow I.V injection or infusion",Pimansim 1g 1gm/vial
